id,account_name,address,city,province_state,postal_zip,country,latitude,longitude,naics,naics_description,sic_6,sic_6_description,website,census_tract,account_type,estimated_annual_revenue_of_business,n_employees
38880902,Jessy's Pizza,30 Farnham Gate Rd,Halifax,NS,B3M3W8,Canada,44.67224,-63.6647,722511,Full-Service Restaurants,581222,PIZZA,,2050026.04,PROSPECT,"$1,000 - $499,999",5 - 9 employees
29071594,Empress Of Canada,260 Queens Quay W,Toronto,ON,M5J2N3,Canada,43.639289,-79.385717,722511,Full-Service Restaurants,581208,RESTAURANTS,,5350012.04,CUSTOMER,"$1,000,000 - $2,499,999",20 - 49 employees
55317887,Sukhothai,274a Parliament St,Toronto,ON,M5A3A4,Canada,43.65837,-79.36595,722511,Full-Service Restaurants,581208,RESTAURANTS,,5350033,PROSPECT,"$1,000 - $499,999",1 - 4 employees
62488283,Subway,1280 Boul Lebourgneuf,Quebec,QC,G2K2N1,Canada,46.836338,-71.296458,722511,Full-Service Restaurants,581208,RESTAURANTS,,4210240.02,PROSPECT,"$1,000 - $499,999",5 - 9 employees
22969620,Lika Restaurant & Bar,820 Browns Line,Etobicoke,ON,M8W3W2,Canada,43.609415,-79.549073,722511,Full-Service Restaurants,581208,RESTAURANTS,,5350212,PROSPECT,"$1,000 - $499,999",1 - 4 employees
43339456,Coffee On The Go,141 Bay St,Toronto,ON,M5J1J5,Canada,43.645548,-79.377748,722515,Snack and Nonalcoholic Beverage Bars,581228,COFFEE SHOPS,,5350013.01,CUSTOMER,"$1,000 - $499,999",1 - 4 employees
63994016,Aroma Espresso Avenue Road,2040 Avenue Rd,North York,ON,M5M4A6,Canada,43.736011,-79.420487,722515,Snack and Nonalcoholic Beverage Bars,581228,COFFEE SHOPS,,5350276.01,CUSTOMER,"$500,000 - $999,999",10 - 19 employees
35766971,Milestone's Grill & Bar,3051 Vega Blvd,Mississauga,ON,L5L5Y3,Canada,43.516743,-79.688692,722511,Full-Service Restaurants,581208,RESTAURANTS,,5350516.25,CUSTOMER,"$2,500,000 - $4,999,999",50 - 99 employees
35247048,Subway,195 College St,Toronto,ON,M5T1P9,Canada,43.658653,-79.394975,722511,Full-Service Restaurants,581208,RESTAURANTS,,5350037,PROSPECT,"$1,000 - $499,999",5 - 9 employees
723009606,Seven44 Restaurant & Lounge,744 Mount Pleasant Rd,Toronto,ON,M4S2N6,Canada,43.707178,-79.390013,722511,Full-Service Restaurants,581208,RESTAURANTS,,5350128.02,CUSTOMER,"$1,000 - $499,999",5 - 9 employees
56030836,Yuzu Sushi,1650 Av Jules-Verne,Quebec,QC,G2G2R1,Canada,46.77743,-71.3579,722511,Full-Service Restaurants,581208,RESTAURANTS,,4210119.03,PROSPECT,"$500,000 - $999,999",10 - 19 employees
13474986,Cafe La Gaffe,24 Baldwin St,Toronto,ON,M5T1L2,Canada,43.65622,-79.393333,722511,Full-Service Restaurants,581208,RESTAURANTS,,5350037,CUSTOMER,"$500,000 - $999,999",10 - 19 employees
742985996,Rooster Coffee House,479 Broadview Ave,Toronto,ON,M4K2N4,Canada,43.669206,-79.352743,722515,Snack and Nonalcoholic Beverage Bars,581228,COFFEE SHOPS,,5350069,CUSTOMER,"$1,000 - $499,999",1 - 4 employees
16273302,Sweet India,7126 Airport Rd,Mississauga,ON,L4T2H1,Canada,43.7061,-79.64607,722511,Full-Service Restaurants,581208,RESTAURANTS,,5350529.01,CUSTOMER,"$1,000 - $499,999",5 - 9 employees
438575344,Pacini,1280 Boul Lebourgneuf,Quebec,QC,G2K2N1,Canada,46.836338,-71.296458,722511,Full-Service Restaurants,581208,RESTAURANTS,,4210240.02,PROSPECT,"$1,000 - $499,999",5 - 9 employees
47677976,Tutti Frutti Dejeuner Et Diner,5560 Boul Des Gradins,Quebec,QC,G2J1R7,Canada,46.8412,-71.27461,722511,Full-Service Restaurants,581208,RESTAURANTS,,4210240.02,PROSPECT,"$1,000,000 - $2,499,999",20 - 49 employees
13475231,Cafe Nicole,3670 Hurontario St,Mississauga,ON,L5B1P3,Canada,43.592243,-79.634327,722511,Full-Service Restaurants,581208,RESTAURANTS,,5350520.09,CUSTOMER,"$500,000 - $999,999",10 - 19 employees
15137359,Mc Donald's,377 Burnhamthorpe Road East,Mississauga,ON,L5A3Y1,Canada,43.60286,-79.62652,722511,Full-Service Restaurants,581208,RESTAURANTS,,5350527.07,PROSPECT,"$2,500,000 - $4,999,999",50 - 99 employees
53295382,Hong Kong Bistro Cafe,472 Dundas St W,Toronto,ON,M5T1G9,Canada,43.653487,-79.396907,722511,Full-Service Restaurants,581208,RESTAURANTS,,5350037,CUSTOMER,"$1,000 - $499,999",1 - 4 employees
